Initials,Genus,Family,Order,Class,Subphylum,Division
Ap,Aureobasidium,Dothioraceae,Dothideales,Dothideomycetes,Pezizomycotina,Ascomycota
Ba,Brettanomyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Bp,Brettanomyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Bb,Brettanomyces,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Ca,Cryptococcus ,Cryptococcaceae,Tremellales,Tremellomycetes ,Agaricomycotina,Basidiomycota
Cf,Cyberlindnera ,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Co,Candida,Debaryomycetaceae ,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Ct,Candida,Debaryomycetaceae ,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Ho,Hanseniaspora ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Hu,Hanseniaspora ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Ku,Kazachstania ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Km,Kluyveromyces ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Le,Lodderomyces ,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Lt,Lachancea ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Mf,Metchsnikowia ,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Mg,Meyerozyma ,Debaryomycetaceae ,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Mp,Metchsnikowia ,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Mv,Metchsnikowia ,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Ng,Naganishia ,Filobasidiaceae,Filobasidiales,Tremellomycetes ,Agaricomycotina,Basidiomycota
Ni,Nakazawaea ,Debaryomycetaceae ,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Pk,Pichia ,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Pm,Pichia ,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Rm,Rhodotorula ,Sporidiobolaceae,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota
Rt,Rhodotorula ,Sporidiobolaceae,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota
Sb,Starmerella ,Metschnikowiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Sc,Saccharomyces ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Sp,Schizosaccharomyces ,Schizosaccharomycetaceae,Schizosaccharomycetales,Schizosaccharomycetes,Taphrinomycotina,Ascomycota
Td,Torulaspora ,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Wa,Wickerhamomyces ,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
Zb,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota
